id_chamado,customer_id,frequencia_chamados_6_meses,tipo_erro_reportado,cartucho_registrado,call_date,region,state,cartridge_type,nps,returned,classificacao_risco
CH1044,C0022,1,baixa qualidade de impressão,True,2024-11-08,Centro-Oeste,MT,original,10,False,Baixa Probabilidade
CH1045,C0069,4,falha de reconhecimento,False,2024-11-10,Nordeste,MA,falsificado,3,True,Alta Probabilidade de Falsificação
CH1046,C0176,2,baixa qualidade de impressão,True,2024-08-30,Centro-Oeste,DF,original,7,False,Baixa Probabilidade
CH1047,C0180,2,outro,True,2025-01-07,Sul,RS,original,10,False,Baixa Probabilidade
CH1048,C0084,2,falha de reconhecimento,True,2024-07-28,Centro-Oeste,DF,original,10,False,Baixa Probabilidade
CH1049,C0065,2,baixa qualidade de impressão,True,2024-10-17,Sul,RS,original,9,False,Baixa Probabilidade
CH1050,C0035,4,vazamento de tinta,False,2025-02-21,Sudeste,RJ,falsificado,1,True,Alta Probabilidade de Falsificação
CH1051,C0105,2,falha de reconhecimento,True,2024-10-10,Nordeste,BA,original,10,True,Baixa Probabilidade
CH1052,C0164,3,danificou a impressora,False,2025-05-11,Centro-Oeste,DF,falsificado,2,True,Alta Probabilidade de Falsificação
CH1053,C0096,4,danificou a impressora,False,2024-09-10,Sul,RS,falsificado,3,True,Alta Probabilidade de Falsificação
CH1054,C0099,3,danificou a impressora,False,2024-12-11,Norte,PA,falsificado,3,True,Alta Probabilidade de Falsificação
CH1055,C0019,2,outro,True,2025-01-23,Norte,TO,generico,3,False,Baixa Probabilidade
CH1056,C0117,3,danificou a impressora,False,2025-01-23,Sudeste,MG,falsificado,0,True,Alta Probabilidade de Falsificação
CH1057,C0057,3,vazamento de tinta,False,2025-02-03,Centro-Oeste,MT,falsificado,2,True,Alta Probabilidade de Falsificação
CH1058,C0163,1,falha de reconhecimento,True,2024-10-06,Norte,AM,generico,3,False,Baixa Probabilidade
CH1059,C0007,2,baixa qualidade de impressão,True,2024-07-12,Centro-Oeste,GO,generico,4,False,Baixa Probabilidade
CH1060,C0136,1,outro,True,2024-10-07,Norte,PA,original,6,False,Baixa Probabilidade
CH1061,C0159,2,falha de reconhecimento,True,2025-01-26,Sudeste,SP,original,7,False,Baixa Probabilidade
CH1062,C0126,3,falha de reconhecimento,False,2024-07-03,Sudeste,SP,falsificado,2,True,Alta Probabilidade de Falsificação
CH1063,C0190,2,baixa qualidade de impressão,True,2025-01-07,Norte,AM,generico,7,False,Baixa Probabilidade
CH1064,C0173,3,vazamento de tinta,False,2025-01-03,Centro-Oeste,GO,falsificado,0,True,Alta Probabilidade de Falsificação
CH1065,C0147,2,baixa qualidade de impressão,True,2025-06-04,Sudeste,ES,original,6,False,Baixa Probabilidade
CH1066,C0074,2,baixa qualidade de impressão,True,2025-03-18,Norte,AC,original,10,False,Baixa Probabilidade
CH1067,C0136,2,baixa qualidade de impressão,True,2024-11-16,Nordeste,BA,original,9,False,Baixa Probabilidade
CH1068,C0157,5,falha de reconhecimento,False,2024-08-17,Sul,RS,falsificado,1,True,Alta Probabilidade de Falsificação
CH1069,C0153,2,outro,True,2025-04-12,Nordeste,PE,original,10,True,Baixa Probabilidade
CH1070,C0146,1,baixa qualidade de impressão,True,2025-03-10,Sudeste,SP,original,6,False,Baixa Probabilidade
CH1071,C0105,1,baixa qualidade de impressão,True,2024-09-30,Centro-Oeste,MT,original,9,False,Baixa Probabilidade
CH1072,C0181,1,outro,True,2025-06-15,Nordeste,PE,generico,3,False,Baixa Probabilidade
CH1073,C0051,4,falha de reconhecimento,False,2025-03-13,Sudeste,ES,falsificado,3,True,Alta Probabilidade de Falsificação
CH1074,C0072,4,danificou a impressora,False,2024-09-21,Norte,PA,falsificado,1,True,Alta Probabilidade de Falsificação
CH1075,C0193,1,baixa qualidade de impressão,True,2025-04-11,Centro-Oeste,GO,original,6,False,Baixa Probabilidade
CH1076,C0075,4,danificou a impressora,False,2024-07-13,Sul,SC,falsificado,1,True,Alta Probabilidade de Falsificação
CH1077,C0030,1,outro,True,2024-10-12,Norte,PA,original,6,False,Baixa Probabilidade
CH1078,C0106,1,falha de reconhecimento,True,2025-04-08,Norte,AC,original,6,False,Baixa Probabilidade
CH1079,C0034,2,baixa qualidade de impressão,True,2024-12-15,Nordeste,CE,original,8,True,Baixa Probabilidade
CH1080,C0080,4,danificou a impressora,False,2024-09-08,Nordeste,MA,falsificado,3,True,Alta Probabilidade de Falsificação
CH1081,C0195,1,falha de reconhecimento,True,2025-03-16,Centro-Oeste,GO,original,7,False,Baixa Probabilidade
CH1082,C0170,3,danificou a impressora,False,2025-05-01,Sudeste,RJ,falsificado,0,True,Alta Probabilidade de Falsificação
CH1083,C0034,4,danificou a impressora,False,2025-02-15,Nordeste,CE,falsificado,0,True,Alta Probabilidade de Falsificação
CH1084,C0056,1,baixa qualidade de impressão,True,2024-10-06,Nordeste,CE,original,9,False,Baixa Probabilidade
CH1085,C0180,5,falha de reconhecimento,False,2025-03-30,Sudeste,MG,falsificado,1,True,Alta Probabilidade de Falsificação
CH1086,C0130,2,baixa qualidade de impressão,True,2024-09-15,Sudeste,MG,original,8,False,Baixa Probabilidade
CH1087,C0038,1,baixa qualidade de impressão,True,2024-10-28,Nordeste,BA,original,9,True,Baixa Probabilidade
CH1088,C0086,3,falha de reconhecimento,False,2025-04-10,Sudeste,RJ,falsificado,3,True,Alta Probabilidade de Falsificação
CH1089,C0109,2,falha de reconhecimento,True,2025-03-07,Sul,RS,original,6,False,Baixa Probabilidade
CH1090,C0006,2,falha de reconhecimento,True,2025-01-17,Nordeste,BA,original,10,False,Baixa Probabilidade
CH1091,C0021,5,vazamento de tinta,False,2024-07-01,Nordeste,PE,falsificado,1,True,Alta Probabilidade de Falsificação
CH1092,C0095,3,vazamento de tinta,False,2025-05-11,Nordeste,BA,falsificado,2,True,Alta Probabilidade de Falsificação
CH1093,C0152,4,danificou a impressora,False,2025-02-18,Norte,PA,falsificado,2,True,Alta Probabilidade de Falsificação
CH1094,C0113,2,falha de reconhecimento,True,2024-08-20,Sudeste,SP,generico,5,False,Baixa Probabilidade
CH1095,C0133,4,danificou a impressora,False,2025-01-27,Sudeste,SP,falsificado,3,True,Alta Probabilidade de Falsificação
CH1096,C0047,2,baixa qualidade de impressão,True,2024-09-30,Centro-Oeste,MS,original,8,False,Baixa Probabilidade
CH1097,C0161,2,baixa qualidade de impressão,True,2024-08-01,Sul,RS,original,9,False,Baixa Probabilidade
CH1098,C0101,3,danificou a impressora,False,2025-03-14,Sudeste,MG,falsificado,3,True,Alta Probabilidade de Falsificação
CH1099,C0095,2,falha de reconhecimento,True,2025-04-01,Nordeste,PE,original,10,False,Baixa Probabilidade
CH1100,C0035,2,falha de reconhecimento,True,2024-08-29,Norte,PA,generico,5,False,Baixa Probabilidade
CH1101,C0165,1,falha de reconhecimento,True,2024-08-24,Nordeste,PE,generico,3,False,Baixa Probabilidade
CH1102,C0072,2,outro,True,2025-01-22,Nordeste,BA,original,6,False,Baixa Probabilidade
CH1103,C0194,2,baixa qualidade de impressão,True,2025-02-25,Sul,PR,original,8,False,Baixa Probabilidade
CH1104,C0157,2,outro,True,2024-08-31,Centro-Oeste,MS,original,6,False,Baixa Probabilidade
CH1105,C0196,2,baixa qualidade de impressão,True,2024-11-12,Norte,AM,original,10,False,Baixa Probabilidade
CH1106,C0180,1,falha de reconhecimento,True,2025-03-13,Sul,PR,original,9,False,Baixa Probabilidade
CH1107,C0115,2,falha de reconhecimento,True,2025-02-02,Sul,SC,original,9,False,Baixa Probabilidade
CH1108,C0200,2,outro,True,2025-02-25,Sul,RS,original,10,False,Baixa Probabilidade
CH1109,C0104,2,baixa qualidade de impressão,True,2025-03-16,Sul,RS,generico,7,False,Baixa Probabilidade
CH1110,C0031,2,baixa qualidade de impressão,True,2025-03-07,Nordeste,PE,original,6,False,Baixa Probabilidade
CH1111,C0149,4,falha de reconhecimento,False,2025-01-18,Norte,TO,falsificado,0,True,Alta Probabilidade de Falsificação
CH1112,C0175,3,vazamento de tinta,False,2024-08-29,Nordeste,BA,falsificado,0,True,Alta Probabilidade de Falsificação
CH1113,C0063,2,outro,True,2025-02-08,Sudeste,SP,original,7,False,Baixa Probabilidade
CH1114,C0171,5,vazamento de tinta,False,2024-11-30,Sudeste,ES,falsificado,3,True,Alta Probabilidade de Falsificação
CH1115,C0088,3,danificou a impressora,False,2025-04-28,Nordeste,PE,falsificado,1,True,Alta Probabilidade de Falsificação
CH1116,C0199,1,baixa qualidade de impressão,True,2024-10-02,Nordeste,CE,original,9,False,Baixa Probabilidade
CH1117,C0141,1,baixa qualidade de impressão,True,2025-01-23,Centro-Oeste,MT,generico,7,False,Baixa Probabilidade
CH1118,C0168,1,falha de reconhecimento,True,2024-11-06,Nordeste,PE,original,7,False,Baixa Probabilidade
CH1119,C0166,2,baixa qualidade de impressão,True,2025-01-05,Sul,PR,generico,5,False,Baixa Probabilidade
CH1120,C0124,1,baixa qualidade de impressão,True,2024-07-28,Nordeste,CE,original,10,False,Baixa Probabilidade
CH1121,C0187,2,baixa qualidade de impressão,True,2024-09-25,Norte,TO,original,8,False,Baixa Probabilidade
CH1122,C0162,2,falha de reconhecimento,True,2024-12-16,Norte,AM,generico,5,False,Baixa Probabilidade
CH1123,C0142,4,vazamento de tinta,False,2025-01-20,Sudeste,SP,falsificado,2,True,Alta Probabilidade de Falsificação
CH1124,C0112,3,vazamento de tinta,False,2025-06-05,Centro-Oeste,GO,falsificado,1,True,Alta Probabilidade de Falsificação
CH1125,C0130,1,baixa qualidade de impressão,True,2024-07-09,Norte,TO,original,6,False,Baixa Probabilidade
CH1126,C0108,4,danificou a impressora,False,2024-11-04,Norte,AC,falsificado,2,True,Alta Probabilidade de Falsificação
CH1127,C0114,4,danificou a impressora,False,2024-11-27,Sudeste,MG,falsificado,1,True,Alta Probabilidade de Falsificação
CH1128,C0022,2,baixa qualidade de impressão,True,2025-01-21,Sudeste,RJ,generico,4,False,Baixa Probabilidade
CH1129,C0128,3,vazamento de tinta,False,2025-04-01,Sul,SC,falsificado,0,True,Alta Probabilidade de Falsificação
CH1130,C0087,4,vazamento de tinta,False,2024-12-30,Sul,PR,falsificado,0,True,Alta Probabilidade de Falsificação
CH1131,C0098,1,baixa qualidade de impressão,True,2025-02-14,Norte,PA,original,6,False,Baixa Probabilidade
CH1132,C0046,4,danificou a impressora,False,2024-09-07,Nordeste,CE,falsificado,2,True,Alta Probabilidade de Falsificação
CH1133,C0029,2,baixa qualidade de impressão,True,2025-03-10,Sudeste,RJ,generico,5,False,Baixa Probabilidade
CH1134,C0055,2,baixa qualidade de impressão,True,2024-11-01,Norte,TO,original,7,True,Baixa Probabilidade
CH1135,C0081,1,baixa qualidade de impressão,True,2025-05-30,Nordeste,MA,original,7,False,Baixa Probabilidade
CH1136,C0129,1,falha de reconhecimento,True,2024-12-26,Centro-Oeste,DF,original,8,False,Baixa Probabilidade
CH1137,C0179,4,vazamento de tinta,False,2024-08-15,Nordeste,CE,falsificado,0,True,Alta Probabilidade de Falsificação
CH1138,C0189,1,baixa qualidade de impressão,True,2024-11-13,Centro-Oeste,GO,original,8,False,Baixa Probabilidade
CH1139,C0118,2,baixa qualidade de impressão,True,2025-04-30,Centro-Oeste,MT,original,8,False,Baixa Probabilidade
CH1140,C0032,1,outro,True,2025-01-30,Centro-Oeste,MS,original,7,False,Baixa Probabilidade
CH1141,C0115,2,baixa qualidade de impressão,True,2025-03-05,Sul,PR,original,9,False,Baixa Probabilidade
CH1142,C0017,2,baixa qualidade de impressão,True,2024-12-15,Sudeste,ES,original,7,False,Baixa Probabilidade
CH1143,C0108,2,falha de reconhecimento,True,2025-02-28,Nordeste,MA,original,6,False,Baixa Probabilidade
CH1144,C0126,1,outro,True,2025-05-08,Sudeste,MG,original,10,False,Baixa Probabilidade
CH1145,C0046,2,baixa qualidade de impressão,True,2024-09-23,Norte,TO,original,9,False,Baixa Probabilidade
CH1146,C0158,1,falha de reconhecimento,True,2024-08-27,Sul,SC,original,6,False,Baixa Probabilidade
CH1147,C0153,3,falha de reconhecimento,False,2024-07-07,Nordeste,BA,falsificado,0,True,Alta Probabilidade de Falsificação
CH1148,C0196,4,danificou a impressora,False,2024-08-25,Nordeste,PE,falsificado,0,True,Alta Probabilidade de Falsificação
CH1149,C0184,2,baixa qualidade de impressão,True,2025-04-05,Norte,TO,original,6,False,Baixa Probabilidade
CH1150,C0148,2,falha de reconhecimento,True,2024-10-18,Nordeste,PE,original,7,True,Baixa Probabilidade
CH1151,C0003,1,baixa qualidade de impressão,True,2024-10-18,Norte,PA,generico,3,False,Baixa Probabilidade
CH1152,C0061,5,danificou a impressora,False,2025-01-07,Centro-Oeste,MS,falsificado,1,True,Alta Probabilidade de Falsificação
CH1153,C0013,5,vazamento de tinta,False,2024-09-22,Sudeste,RJ,falsificado,3,True,Alta Probabilidade de Falsificação
CH1154,C0105,1,baixa qualidade de impressão,True,2025-05-07,Sul,RS,generico,3,False,Baixa Probabilidade
CH1155,C0025,1,baixa qualidade de impressão,True,2025-05-10,Sul,SC,original,8,False,Baixa Probabilidade
CH1156,C0060,3,falha de reconhecimento,False,2024-08-02,Sudeste,ES,falsificado,1,True,Alta Probabilidade de Falsificação
CH1157,C0093,1,baixa qualidade de impressão,True,2024-11-12,Nordeste,PE,original,8,False,Baixa Probabilidade
CH1158,C0147,2,outro,True,2024-12-17,Centro-Oeste,GO,generico,3,False,Baixa Probabilidade
CH1159,C0170,5,danificou a impressora,False,2024-08-06,Norte,AM,falsificado,2,True,Alta Probabilidade de Falsificação
CH1160,C0031,2,outro,True,2025-06-04,Centro-Oeste,GO,original,7,False,Baixa Probabilidade
CH1161,C0039,3,danificou a impressora,False,2024-11-05,Sudeste,ES,falsificado,0,True,Alta Probabilidade de Falsificação
CH1162,C0098,2,outro,True,2024-11-04,Sul,RS,original,8,False,Baixa Probabilidade
CH1163,C0063,1,outro,True,2024-07-27,Norte,PA,original,9,False,Baixa Probabilidade
CH1164,C0192,2,falha de reconhecimento,True,2024-09-19,Sul,SC,original,7,True,Baixa Probabilidade
CH1165,C0192,2,falha de reconhecimento,True,2025-05-14,Centro-Oeste,MS,original,10,False,Baixa Probabilidade
CH1166,C0134,2,falha de reconhecimento,True,2025-06-12,Sul,RS,original,7,False,Baixa Probabilidade
CH1167,C0099,1,falha de reconhecimento,True,2025-03-24,Sul,PR,generico,5,False,Baixa Probabilidade
CH1168,C0022,5,falha de reconhecimento,False,2025-05-26,Nordeste,BA,falsificado,3,True,Alta Probabilidade de Falsificação
CH1169,C0047,1,outro,True,2025-06-01,Nordeste,PE,original,10,False,Baixa Probabilidade
CH1170,C0162,3,danificou a impressora,False,2024-11-20,Sudeste,ES,falsificado,3,True,Alta Probabilidade de Falsificação
CH1171,C0027,2,baixa qualidade de impressão,True,2024-07-02,Norte,TO,original,8,False,Baixa Probabilidade
CH1172,C0192,4,danificou a impressora,False,2024-11-22,Sudeste,RJ,falsificado,1,True,Alta Probabilidade de Falsificação
CH1173,C0199,3,vazamento de tinta,False,2025-02-19,Nordeste,PE,falsificado,0,True,Alta Probabilidade de Falsificação
CH1174,C0130,1,outro,True,2025-03-13,Sul,SC,original,10,True,Baixa Probabilidade
CH1175,C0166,3,danificou a impressora,False,2024-09-22,Sudeste,ES,falsificado,3,True,Alta Probabilidade de Falsificação
CH1176,C0179,3,vazamento de tinta,False,2024-08-10,Nordeste,MA,falsificado,1,True,Alta Probabilidade de Falsificação
CH1177,C0086,3,danificou a impressora,False,2025-06-14,Centro-Oeste,GO,falsificado,3,True,Alta Probabilidade de Falsificação
CH1178,C0033,2,baixa qualidade de impressão,True,2025-02-14,Sul,SC,original,7,False,Baixa Probabilidade
CH1179,C0143,5,danificou a impressora,False,2025-02-13,Sudeste,MG,falsificado,3,True,Alta Probabilidade de Falsificação
CH1180,C0134,1,baixa qualidade de impressão,True,2025-03-24,Sul,SC,original,7,False,Baixa Probabilidade
CH1181,C0062,1,baixa qualidade de impressão,True,2025-06-13,Sul,PR,generico,6,False,Baixa Probabilidade
CH1182,C0127,2,baixa qualidade de impressão,True,2024-08-19,Centro-Oeste,GO,original,9,False,Baixa Probabilidade
CH1183,C0122,4,vazamento de tinta,False,2024-12-15,Norte,AM,falsificado,3,True,Alta Probabilidade de Falsificação
CH1184,C0032,2,baixa qualidade de impressão,True,2025-02-05,Nordeste,CE,original,10,False,Baixa Probabilidade
CH1185,C0156,5,vazamento de tinta,False,2024-07-19,Nordeste,BA,falsificado,1,True,Alta Probabilidade de Falsificação
CH1186,C0049,1,baixa qualidade de impressão,True,2025-05-27,Norte,PA,generico,7,False,Baixa Probabilidade
CH1187,C0188,3,danificou a impressora,False,2024-06-27,Sul,RS,falsificado,0,True,Alta Probabilidade de Falsificação
CH1188,C0066,2,baixa qualidade de impressão,True,2025-02-05,Centro-Oeste,DF,original,8,False,Baixa Probabilidade
CH1189,C0018,1,baixa qualidade de impressão,True,2024-07-17,Sul,SC,original,9,False,Baixa Probabilidade
CH1190,C0002,3,vazamento de tinta,False,2025-02-25,Nordeste,MA,falsificado,0,True,Alta Probabilidade de Falsificação
CH1191,C0014,1,falha de reconhecimento,True,2025-04-11,Nordeste,MA,original,6,False,Baixa Probabilidade
CH1192,C0163,1,falha de reconhecimento,True,2024-12-03,Sudeste,RJ,original,9,False,Baixa Probabilidade
CH1193,C0118,4,vazamento de tinta,False,2025-02-03,Norte,AM,falsificado,3,True,Alta Probabilidade de Falsificação
CH1194,C0020,2,falha de reconhecimento,True,2024-12-23,Sudeste,SP,original,9,False,Baixa Probabilidade
CH1195,C0165,2,outro,True,2024-07-17,Norte,PA,original,9,False,Baixa Probabilidade
CH1196,C0130,3,falha de reconhecimento,False,2024-11-30,Sudeste,MG,falsificado,0,True,Alta Probabilidade de Falsificação
CH1197,C0059,3,danificou a impressora,False,2024-10-17,Nordeste,BA,falsificado,3,True,Alta Probabilidade de Falsificação
CH1198,C0043,3,danificou a impressora,False,2024-12-20,Sudeste,ES,falsificado,0,True,Alta Probabilidade de Falsificação
CH1199,C0151,2,baixa qualidade de impressão,True,2025-06-08,Sul,PR,original,9,False,Baixa Probabilidade
CH1200,C0085,3,vazamento de tinta,False,2024-08-30,Centro-Oeste,MS,falsificado,0,True,Alta Probabilidade de Falsificação
CH1201,C0193,2,baixa qualidade de impressão,True,2024-07-23,Nordeste,MA,original,7,False,Baixa Probabilidade
CH1202,C0089,1,falha de reconhecimento,True,2024-11-08,Nordeste,PE,generico,7,False,Baixa Probabilidade
CH1203,C0194,2,baixa qualidade de impressão,True,2025-03-31,Nordeste,BA,generico,3,False,Baixa Probabilidade
CH1204,C0159,2,falha de reconhecimento,True,2024-09-10,Sul,SC,original,9,False,Baixa Probabilidade
CH1205,C0083,1,baixa qualidade de impressão,True,2024-11-29,Nordeste,MA,original,6,False,Baixa Probabilidade
CH1206,C0143,2,falha de reconhecimento,True,2024-06-26,Sul,PR,original,6,False,Baixa Probabilidade
CH1207,C0200,2,falha de reconhecimento,True,2025-02-19,Sul,SC,original,10,False,Baixa Probabilidade
CH1208,C0154,3,vazamento de tinta,False,2024-09-18,Nordeste,MA,falsificado,0,True,Alta Probabilidade de Falsificação
CH1209,C0043,2,falha de reconhecimento,True,2024-07-15,Sudeste,MG,original,8,True,Baixa Probabilidade
CH1210,C0047,5,vazamento de tinta,False,2025-01-26,Sul,RS,falsificado,2,True,Alta Probabilidade de Falsificação
CH1211,C0019,3,danificou a impressora,False,2025-01-10,Sul,PR,falsificado,0,True,Alta Probabilidade de Falsificação
CH1212,C0156,2,baixa qualidade de impressão,True,2024-07-06,Norte,PA,original,7,False,Baixa Probabilidade
CH1213,C0094,5,falha de reconhecimento,False,2024-08-08,Sudeste,MG,falsificado,2,True,Alta Probabilidade de Falsificação
CH1214,C0170,4,falha de reconhecimento,False,2024-06-19,Sul,RS,falsificado,0,True,Alta Probabilidade de Falsificação
CH1215,C0047,1,falha de reconhecimento,True,2025-06-06,Nordeste,CE,original,9,False,Baixa Probabilidade
CH1216,C0122,2,outro,True,2025-01-15,Norte,PA,original,7,False,Baixa Probabilidade
CH1217,C0019,1,falha de reconhecimento,True,2024-12-23,Sul,RS,original,9,False,Baixa Probabilidade
CH1218,C0049,2,baixa qualidade de impressão,True,2025-01-07,Norte,TO,original,10,False,Baixa Probabilidade
CH1219,C0011,4,danificou a impressora,False,2024-07-31,Sudeste,RJ,falsificado,0,True,Alta Probabilidade de Falsificação
CH1220,C0035,2,baixa qualidade de impressão,True,2025-05-28,Norte,PA,original,6,False,Baixa Probabilidade
CH1221,C0068,2,outro,True,2025-04-04,Nordeste,MA,original,9,True,Baixa Probabilidade
CH1222,C0136,2,baixa qualidade de impressão,True,2025-05-20,Norte,AM,original,6,False,Baixa Probabilidade
CH1223,C0160,2,falha de reconhecimento,True,2024-07-25,Sudeste,RJ,original,9,False,Baixa Probabilidade
CH1224,C0130,2,baixa qualidade de impressão,True,2025-05-11,Norte,PA,generico,6,True,Baixa Probabilidade
CH1225,C0197,5,danificou a impressora,False,2025-01-09,Sudeste,RJ,falsificado,2,True,Alta Probabilidade de Falsificação
CH1226,C0121,2,baixa qualidade de impressão,True,2024-07-03,Centro-Oeste,MS,original,9,False,Baixa Probabilidade
CH1227,C0115,3,danificou a impressora,False,2024-09-03,Sudeste,SP,falsificado,3,True,Alta Probabilidade de Falsificação
CH1228,C0149,4,vazamento de tinta,False,2024-09-17,Norte,AM,falsificado,2,True,Alta Probabilidade de Falsificação
CH1229,C0038,3,vazamento de tinta,False,2025-04-11,Nordeste,BA,falsificado,0,True,Alta Probabilidade de Falsificação
CH1230,C0105,5,vazamento de tinta,False,2025-01-13,Sul,SC,falsificado,0,True,Alta Probabilidade de Falsificação
CH1231,C0196,2,outro,True,2025-04-28,Sul,PR,original,9,False,Baixa Probabilidade
CH1232,C0042,1,baixa qualidade de impressão,True,2025-04-04,Norte,PA,generico,5,False,Baixa Probabilidade
CH1233,C0143,2,baixa qualidade de impressão,True,2024-09-08,Sul,RS,original,9,False,Baixa Probabilidade
CH1234,C0054,5,vazamento de tinta,False,2025-05-22,Norte,PA,falsificado,1,True,Alta Probabilidade de Falsificação
CH1235,C0141,2,baixa qualidade de impressão,True,2025-02-08,Norte,AC,original,9,True,Baixa Probabilidade
CH1236,C0096,1,falha de reconhecimento,True,2024-10-05,Centro-Oeste,MS,original,9,False,Baixa Probabilidade
CH1237,C0130,1,baixa qualidade de impressão,True,2024-09-22,Sul,SC,original,7,False,Baixa Probabilidade
